lon,"lat"
-122,38
-122.31,37.89
-122.3,37.86
-122.24,37.86
-122.09,37.5
-122,37
-120,39
-121,38
-122,40
-122,39
-120,38
-123,39
-122.6,39
-122.28,37.92
-122.23,37.88
-122.19,37.87
-122.15,38
-124,42
-123.49,43.06
-123.41,43.12
-123,44
-123,43
-121,39
-115,31
-119,37
-120,37
-123,40
-124,41
-124.13,40.86
-124.05,40.53
-124,40
-123.95,41.45
-124,40.01
-123.97,40.49
-123.9,40
-118,37
-118.05,37.44
-118.03,36.31
-116,36
-118.12,36.55
-118,36
-123,42
-122,42
-119,36
-119,35
-118,35
-118.45,35.11
-118.8,35.49
-120,35
-119,35.16
-118.31,36
-120,36
-122.95,39.44
-121,41
-121,40
-118.77,34.63
-118.51,34.42
-118,34
-118.22,34.73
-118.15,34.15
-118.38,34.01
-118.24,34.04
-117.7,34.15
-117.67,34.2
-118,34.79
-123,38
-122.85,38.1
-122.25,38.1
-123.57,38.8
-121,37
-121,36.89
-121,42
-119,38
-118,38
-124.15,40.6
-121,36
-121.91,36.55
-121.91,36.49
-118.08,33.74
-117.81,33.85
-117,34
-120.83,39.2
-120,40
-117.16,33.98
-117,33
-117.39,33.93
-117,34.03
-116,34
-120.63,36.35
-117.69,33.94
-117.69,33.98
-117,34.2
-117,35
-117.3,35
-116.94,34.22
-117,34.25
-116.89,34.17
-117.15,33
-117,33.35
-117.08,33.11
-117.07,32.78
-117,32.64
-116.78,32.64
-116.6,33.07
-116.6,33.21
-116.44,32.97
-116.38,32.78
-116,33
-116.1,32.67
-121,37.67
-120.6,35
-122.41,38
-122.38,38
-122.32,38
-122.41,37.61
-122.39,37.58
-122.39,37.63
-122.25,37.54
-119.79,34.42
-120,34.4
-122.18,37
-122.06,36.94
-122,41
-123,41
-122.2,41.97
-122,38.2
-122.04,38.21
-121.9,38.14
-122.65,38
-124,40.5
-124,40.49
-119.1,36.24
-119.85,37.87
-119.19,34.47
-119,34.8
-118.75,34.51
-119.26,34
-122,38.69
-122.71,42
-118.59,34.25
-118.37,34.46
-118.15,34
-116.35,32.6
-116.1,31
-116,31
-116,32
-115,30
