species,lon,lat
Microtus californicus,-122.31622,37.86311
Microtus californicus,-122.30994,37.89247
Microtus californicus,-122.30564,37.89038
Microtus californicus,-122.2833333,37.8833333
Microtus californicus,-122.272,37.87
Microtus californicus,-122.2698574,37.8762592
Microtus californicus,-122.2691131,37.8762592
Microtus californicus,-122.2666667,37.8666667
Microtus californicus,-122.2420078,37.8667885
Microtus californicus,-122.2388993,37.8770351
Microtus californicus,-122.2376706,37.8735857
Microtus californicus,-122.2370695,37.8744479
Microtus californicus,-122.2348967,37.8713428
Microtus californicus,-122.233441,37.8829679
Microtus californicus,-122.2323559,37.8821056
Microtus californicus,-122.232,37.882
Microtus californicus,-122.231667,37.880833
Microtus californicus,-122.2302975,37.8713428
Microtus californicus,-122.2300752,37.866064
Microtus californicus,-122.2127778,37.7444444
Microtus californicus,-122.2126871,37.7439691
Microtus californicus,-122.19551,37.83914
Microtus californicus,-122.31156,37.89731
Microtus californicus,-122.31,37.89
Microtus californicus,-122.3,37.86
Microtus californicus,-122.27,37.87
Microtus californicus,-122.24,37.86
Microtus californicus,-122.24,37.87
Microtus californicus,-122.23,37.87
Microtus californicus,-122.09,37.5
Microtus californicus,-122.26985,37.87625
Microtus californicus,-122.26925,37.82732
Microtus californicus,-122.23706,37.87444
Microtus californicus,-122.01879,37.5996
Microtus californicus,-121.9945564,37.63766694
Microtus californicus,-121.81938,37.49432
Microtus californicus,-121.6815667,37.61050002
Microtus californicus,-121.61145,37.68715
Microtus californicus,-122.329196,37.9139675
Microtus californicus,-122.31306,37.8939
Microtus californicus,-122.289898,37.7801232
Microtus californicus,-122.27167,37.87167
Microtus californicus,-122.271667,37.871667
Microtus californicus,-122.2696,37.90557
Microtus californicus,-122.26044,37.89284
Microtus californicus,-122.2602199,37.8858646
Microtus californicus,-122.2470795,37.8803864
Microtus californicus,-122.245263,37.8677546
Microtus californicus,-122.2452199,37.8679961
Microtus californicus,-122.2410595,37.8726538
Microtus californicus,-122.240929,37.872653
Microtus californicus,-122.2371213,37.8771041
Microtus californicus,-122.2326899,37.8771391
Microtus californicus,-122.2324427,37.8821401
Microtus californicus,-122.23237,37.86953
Microtus californicus,-122.2319879,37.8238683
Microtus californicus,-122.23153,37.87105
Microtus californicus,-122.2315172,37.8760005
Microtus californicus,-122.22868,37.87161
Microtus californicus,-122.2282656,37.733492
Microtus californicus,-122.22577,37.73068
Microtus californicus,-122.221484,37.862733
Microtus californicus,-122.22052,37.75286
Microtus californicus,-122.2204948,37.8745514
Microtus californicus,-122.21183,37.837363
